name,latitude,longitude,zone_type
aziz nagar x road,17.34424,78.32467,bus_stop
aziz nagar x road,17.3441,78.32487,bus_stop
b h e l,17.49174,78.29215,bus_stop
b n reddy,17.32074,78.56154,bus_stop
b n reddy nagar bus stop towards ibrahimpatnam,17.31607,78.56167,bus_stop
b.k. enclave,17.51898,78.35618,bus_stop
b.k. enclave,17.51951,78.35598,bus_stop
b.n. reddy nagar,17.32011,78.56066,bus_stop
b.n. reddy nagar,17.31683,78.56111,bus_stop
b.n. reddy nagar sagar complex,17.31271,78.56369,bus_stop
b.n. reddy nagar(bager hospital),17.32185,78.55984,bus_stop
baba nagar,17.33023,78.48654,bus_stop
baba nagar,17.33045,78.48634,bus_stop
baba temple alkapuri,17.36537,78.55313,bus_stop
baba temple alkapuri,17.36551,78.5528,bus_stop
babu jagjeevan ram bhavan,17.36585,78.54336,bus_stop
babu jagjeevan ram bhavan telephone colony arch,17.36594,78.54327,bus_stop
bacharam,17.39306,78.69008,bus_stop
bacharam 1,17.39441,78.68991,bus_stop
bachupally,17.541,78.36354,bus_stop
bachupally,17.54031,78.3621,bus_stop
bachupally volvo comp,17.53021,78.35577,bus_stop
bachupally x road,17.52196,78.35637,bus_stop
bachupally x road,17.52207,78.35657,bus_stop
bachupally x road,17.54091,78.36408,bus_stop
bachupally x roads,17.54074,78.36402,bus_stop
badangpet,17.30706,78.52541,bus_stop
badangpet,17.30705,78.52528,bus_stop
badangpet gram panchayat kamaan,17.31344,78.5229,bus_stop
badangpet gram panchayat office,17.30523,78.52548,bus_stop
badangpet gram panchayat office,17.30527,78.52532,bus_stop
bagh lingampally,17.39711,78.49701,bus_stop
bagh lingampally,17.39738,78.4974,bus_stop
baghlingampally,17.39645,78.49599,bus_stop
baghlingampally,17.39663,78.49606,bus_stop
baghlingampally ambedkar college,17.40078,78.49926,bus_stop
baghlingampally ambedkar college,17.40129,78.49944,bus_stop
bahadur pally ramalayam,17.55983,78.43783,bus_stop
bahadur pally ramalayam,17.55975,78.43783,bus_stop
bahadurpally road,17.56035,78.43162,bus_stop
bahadurpally x road,17.55991,78.43115,bus_stop
bahadurpally x road,17.55997,78.43098,bus_stop
bahadurpura,17.35458,78.45413,bus_stop
bahadurpura,17.35568,78.45428,bus_stop
bahadurpura,17.35768,78.46183,bus_stop
bahadurpura police station,17.35915,78.455,bus_stop
bahadurpura police station,17.35847,78.45515,bus_stop
bairaguda bus stop,17.12262,78.49751,bus_stop
bairamal guda bust stop,17.34048,78.5482,bus_stop
bairamalguda,17.34297,78.54095,bus_stop
bairamalguda,17.34309,78.54111,bus_stop
bala nagar,17.46821,78.44614,bus_stop
bala nagar,17.46891,78.44658,bus_stop
balaji hills colony - bus stop,17.41485,78.57112,bus_stop
