date,reg_rider,reg_driver,rider_to_driver_ratio
2024-05-12,899,89,10.101123595505618
2024-05-13,699,76,9.197368421052632
2024-05-14,1109,164,6.762195121951219
2024-05-15,1115,196,5.688775510204081
2024-05-16,1061,212,5.004716981132075
2024-05-17,902,226,3.9911504424778763
2024-05-18,1100,206,5.339805825242719
2024-05-19,1015,93,10.913978494623656
2024-05-20,1087,212,5.127358490566038
2024-05-21,836,180,4.644444444444445
2024-05-22,876,191,4.5863874345549736
2024-05-23,910,172,5.290697674418604
2024-05-24,1009,184,5.483695652173913
2024-05-25,1008,172,5.8604651162790695
2024-05-26,859,87,9.873563218390805
2024-05-27,955,170,5.617647058823529
2024-05-28,751,240,3.129166666666667
2024-05-29,766,214,3.5794392523364484
2024-05-30,522,188,2.776595744680851
2024-05-31,550,165,3.3333333333333335
2024-06-01,624,109,5.724770642201835
2024-06-02,694,46,15.08695652173913
2024-06-03,544,148,3.675675675675676
2024-06-04,380,95,4.0
2024-06-05,759,183,4.147540983606557
2024-06-06,480,161,2.981366459627329
2024-06-07,663,164,4.0426829268292686
2024-06-08,677,137,4.9416058394160585
2024-06-09,716,52,13.76923076923077
2024-06-10,836,147,5.687074829931973
2024-06-11,935,179,5.223463687150838
2024-06-12,690,171,4.035087719298246
2024-06-13,623,177,3.519774011299435
2024-06-14,644,203,3.1724137931034484
2024-06-15,698,175,3.9885714285714284
2024-06-16,602,45,13.377777777777778
2024-06-17,789,38,20.763157894736842
2024-06-18,808,175,4.617142857142857
2024-06-19,767,254,3.0196850393700787
2024-06-20,707,311,2.2733118971061095
2024-06-21,514,312,1.6474358974358974
2024-06-22,613,250,2.452
2024-06-23,638,52,12.26923076923077
2024-06-24,529,233,2.2703862660944205
2024-06-25,585,199,2.9396984924623117
2024-06-26,516,227,2.2731277533039647
2024-06-27,598,226,2.646017699115044
2024-06-28,539,238,2.264705882352941
2024-06-29,602,194,3.1030927835051547
2024-06-30,648,47,13.787234042553191
2024-07-01,531,201,2.6417910447761193
2024-07-02,548,211,2.5971563981042656
2024-07-03,597,214,2.789719626168224
2024-07-04,586,240,2.441666666666667
2024-07-05,702,218,3.220183486238532
2024-07-06,651,229,2.8427947598253276
2024-07-07,608,52,11.692307692307692
2024-07-08,817,121,6.75206611570248
2024-07-09,724,128,5.65625
2024-07-10,730,63,11.587301587301587
2024-07-11,669,94,7.117021276595745
2024-07-12,704,118,5.966101694915254
2024-07-13,627,100,6.27
2024-07-14,905,52,17.403846153846153
2024-07-15,642,75,8.56
2024-07-16,690,79,8.734177215189874
2024-07-17,724,57,12.701754385964913
2024-07-18,881,126,6.992063492063492
2024-07-19,914,157,5.821656050955414
2024-07-20,1425,82,17.378048780487806
2024-07-21,1192,67,17.791044776119403
2024-07-22,990,88,11.25
2024-07-23,1233,101,12.207920792079207
2024-07-24,1106,108,10.24074074074074
2024-07-25,1803,101,17.85148514851485
2024-07-26,1178,135,8.725925925925926
2024-07-27,941,119,7.907563025210084
2024-07-28,723,52,13.903846153846153
2024-07-29,710,84,8.452380952380953
2024-07-30,685,95,7.2105263157894735
2024-07-31,775,118,6.567796610169491
2024-08-01,735,116,6.336206896551724
2024-08-02,681,150,4.54
2024-08-03,777,121,6.421487603305785
2024-08-04,632,39,16.205128205128204
2024-08-05,681,97,7.020618556701031
2024-08-06,1206,116,10.39655172413793
2024-08-07,1602,127,12.614173228346457
2024-08-08,1369,114,12.008771929824562
2024-08-09,806,113,7.132743362831858
2024-08-10,806,111,7.261261261261262
2024-08-11,717,21,34.142857142857146
2024-08-12,882,77,11.454545454545455
2024-08-13,748,105,7.123809523809523
2024-08-14,1183,129,9.170542635658915
2024-08-15,1583,41,38.609756097560975
2024-08-16,1049,142,7.387323943661972
2024-08-17,845,111,7.612612612612613
2024-08-18,839,31,27.06451612903226
2024-08-19,2977,24,124.04166666666667
2024-08-20,1765,115,15.347826086956522
2024-08-21,824,134,6.149253731343284
2024-08-22,608,174,3.4942528735632186
