date,city_code,reg_rider,reg_driver
2022-11-05,MYQ,33,17
2022-11-05,TRT,15,1
2022-11-06,BLR,6178,329
2022-11-06,COK,48,0
2022-11-06,MYQ,49,13
2022-11-06,TRT,22,1
2022-11-07,BLR,6124,346
2022-11-07,COK,86,3
2022-11-07,MYQ,45,19
2022-11-07,TRT,23,0
2022-11-08,BLR,3025,329
2022-11-08,COK,90,0
2022-11-08,MYQ,29,13
2022-11-08,TRT,12,0
2022-11-09,BLR,3042,251
2022-11-09,COK,94,1
2022-11-09,MYQ,26,10
2022-11-09,TRT,8,0
2022-11-10,BLR,2655,266
2022-11-10,COK,148,1
2022-11-10,MYQ,22,10
2022-11-10,TRT,11,0
2022-11-11,BLR,3759,217
2022-11-11,COK,92,4
2022-11-11,MYQ,30,5
2022-11-11,TRT,11,0
2022-11-12,BLR,3948,172
2022-11-12,COK,126,1
2022-11-12,MYQ,17,7
2022-11-12,TRT,9,0
2022-11-13,BLR,2416,144
2022-11-13,COK,120,2
2022-11-13,MYQ,16,4
2022-11-13,TRT,13,0
2022-11-14,BLR,2098,138
2022-11-14,COK,66,8
2022-11-14,MYQ,17,3
2022-11-14,TRT,6,0
2022-11-15,BLR,1822,150
2022-11-15,COK,111,0
2022-11-15,MYQ,15,5
2022-11-15,TRT,7,0
2022-11-16,BLR,1838,163
2022-11-16,COK,144,5
2022-11-16,MYQ,15,12
2022-11-16,TRT,1,0
2022-11-17,BLR,2143,141
2022-11-17,COK,111,0
2022-11-17,MYQ,6,3
2022-11-17,TRT,9,0
2022-11-18,BLR,2197,150
2022-11-18,COK,127,0
2022-11-18,MYQ,20,2
2022-11-18,TRT,11,0
2022-11-19,BLR,2981,116
2022-11-19,COK,146,1
2022-11-19,MYQ,23,3
2022-11-19,TRT,5,0
2022-11-20,BLR,2155,95
2022-11-20,COK,128,0
2022-11-20,MYQ,8,1
2022-11-20,TRT,9,0
2022-11-21,BLR,1283,112
2022-11-21,COK,137,2
2022-11-21,MYQ,11,6
2022-11-21,TRT,3,0
2022-11-22,BLR,1153,162
2022-11-22,COK,126,0
2022-11-22,MYQ,11,6
2022-11-22,TRT,4,0
2022-11-23,BLR,1312,127
2022-11-23,COK,143,1
2022-11-23,MYQ,8,5
2022-11-23,TRT,5,1
2022-11-24,BLR,1760,147
2022-11-24,COK,154,0
2022-11-24,MYQ,13,7
2022-11-24,TRT,5,0
2022-11-25,BLR,1312,105
2022-11-25,COK,120,0
2022-11-25,MYQ,7,3
2022-11-25,TRT,7,0
2022-11-26,BLR,1484,117
2022-11-26,COK,130,0
2022-11-26,MYQ,9,4
2022-11-26,TRT,4,0
2022-11-27,BLR,1291,79
2022-11-27,COK,174,0
2022-11-27,MYQ,12,0
2022-11-27,TRT,5,0
2022-11-28,BLR,997,79
2022-11-28,COK,59,1
2022-11-28,MYQ,11,5
2022-11-28,TRT,5,0
2022-11-29,BLR,852,110
2022-11-29,COK,23,1
2022-11-29,MYQ,9,3
2022-11-29,TRT,1,0
2022-11-30,BLR,807,102
2022-11-30,COK,95,0
2022-11-30,MYQ,5,1
2022-11-30,TRT,4,0
2022-12-01,BLR,840,145
2022-12-01,COK,139,1
2022-12-01,MYQ,9,4
2022-12-01,TRT,3,0
2022-12-02,BLR,973,115
2022-12-02,COK,137,1
2022-12-02,MYQ,12,3
2022-12-02,TRT,4,0
2022-12-03,BLR,1147,124
2022-12-03,COK,175,1
2022-12-03,MYQ,10,9
2022-12-03,TRT,4,0
2022-12-04,BLR,901,71
2022-12-04,COK,162,0
2022-12-04,MYQ,9,3
2022-12-04,TRT,1,0
2022-12-05,BLR,723,118
2022-12-05,COK,136,0
2022-12-05,MYQ,6,1
2022-12-05,TRT,4,0
2022-12-06,BLR,720,158
2022-12-06,COK,159,4
2022-12-06,MYQ,4,4
2022-12-06,TRT,2,0
2022-12-07,BLR,599,117
2022-12-07,COK,176,0
2022-12-07,MYQ,10,3
2022-12-07,TRT,4,0
2022-12-08,BLR,606,118
2022-12-08,COK,217,0
2022-12-08,MYQ,8,3
2022-12-08,TRT,2,0
2022-12-09,BLR,708,93
2022-12-09,COK,202,0
2022-12-09,MYQ,11,2
2022-12-10,BLR,1771,68
2022-12-10,COK,200,0
2022-12-10,MYQ,11,0
2022-12-10,TRT,3,0
2022-12-11,BLR,1035,54
2022-12-11,COK,213,0
2022-12-11,MYQ,10,2
2022-12-11,TRT,6,0
2022-12-12,BLR,1030,72
2022-12-12,COK,217,0
2022-12-12,MYQ,8,3
2022-12-12,TRT,5,0
2022-12-13,BLR,942,85
2022-12-13,COK,141,0
2022-12-13,MYQ,7,3
2022-12-13,TRT,3,1
2022-12-14,BLR,662,97
2022-12-14,COK,137,8
2022-12-14,MYQ,8,1
2022-12-14,TRT,4,0
2022-12-15,BLR,648,115
2022-12-15,COK,140,4
2022-12-15,MYQ,4,4
2022-12-15,TRT,1,0
2022-12-16,BLR,739,126
2022-12-16,COK,138,0
2022-12-16,MYQ,14,6
2022-12-16,TRT,1,0
2022-12-17,BLR,1122,107
2022-12-17,COK,119,0
2022-12-17,MYQ,13,2
2022-12-17,TRT,3,0
2022-12-18,BLR,966,84
2022-12-18,COK,132,0
2022-12-18,MYQ,8,2
2022-12-18,TRT,2,0
2022-12-19,BLR,760,101
2022-12-19,COK,120,0
2022-12-19,MYQ,7,4
2022-12-19,TRT,4,0
2022-12-20,BLR,885,113
2022-12-20,COK,133,2
2022-12-20,MYQ,10,4
2022-12-20,TRT,2,0
2022-12-21,BLR,729,127
2022-12-21,COK,102,2
2022-12-21,MYQ,9,0
2022-12-21,TRT,1,0
2022-12-22,BLR,719,105
2022-12-22,COK,64,0
2022-12-22,MYQ,7,0
2022-12-22,TRT,2,0
2022-12-23,BLR,1464,176
2022-12-23,COK,67,0
2022-12-23,MYQ,18,4
2022-12-23,TRT,11,0
2022-12-24,BLR,1234,113
2022-12-24,COK,47,0
2022-12-24,MYQ,12,1
2022-12-24,TRT,3,0
2022-12-25,BLR,1220,98
2022-12-25,COK,18,0
2022-12-25,MYQ,8,1
2022-12-25,TRT,5,0
2022-12-26,BLR,974,129
2022-12-26,COK,16,0
2022-12-26,MYQ,12,6
2022-12-26,TRT,3,0
2022-12-27,BLR,923,191
2022-12-27,COK,20,0
2022-12-27,MYQ,14,2
2022-12-27,TRT,6,0
2022-12-28,BLR,1022,235
2022-12-28,COK,15,2
2022-12-28,MYQ,12,2
2022-12-28,TRT,1,0
2022-12-29,BLR,934,102
2022-12-29,COK,23,0
2022-12-29,MYQ,6,0
2022-12-29,TRT,8,3
2022-12-30,BLR,1037,191
2022-12-30,COK,20,0
2022-12-30,MYQ,12,2
2022-12-30,TRT,2,0
2022-12-31,BLR,1254,157
2022-12-31,COK,7,0
2022-12-31,MYQ,7,1
2022-12-31,TRT,3,0
2023-01-01,BLR,1154,56
2023-01-01,COK,16,0
2023-01-01,MYQ,7,1
2023-01-01,TRT,3,0
2023-01-02,BLR,1083,157
2023-01-02,COK,19,0
2023-01-02,MYQ,17,1
2023-01-02,TRT,5,0
2023-01-03,BLR,1147,224
2023-01-03,COK,15,1
2023-01-03,MYQ,11,5
2023-01-03,TRT,3,0
2023-01-04,BLR,1631,224
2023-01-04,COK,15,2
2023-01-04,MYQ,30,4
2023-01-04,TRT,7,0
2023-01-05,BLR,1280,256
2023-01-05,COK,6,0
2023-01-05,MYQ,22,3
2023-01-05,TRT,10,0
2023-01-06,BLR,1188,271
2023-01-06,COK,13,0
2023-01-06,MYQ,12,4
2023-01-06,TRT,5,0
2023-01-07,BLR,1464,180
2023-01-07,COK,30,0
2023-01-07,MYQ,16,2
2023-01-07,TRT,5,0
2023-01-08,BLR,1421,117
2023-01-08,COK,19,0
2023-01-08,MYQ,18,9
2023-01-08,TRT,7,0
2023-01-09,BLR,1217,165
2023-01-09,COK,26,5
2023-01-09,MYQ,15,2
2023-01-09,TRT,5,0
2023-01-10,BLR,1385,215
2023-01-10,COK,28,3
2023-01-10,MYQ,4,3
2023-01-10,TRT,9,0
2023-01-11,BLR,1397,189
2023-01-11,COK,39,7
2023-01-11,MYQ,13,1
2023-01-11,TRT,3,0
2023-01-12,BLR,1254,196
2023-01-12,COK,17,2
2023-01-12,MYQ,6,3
2023-01-12,TRT,4,1
2023-01-13,BLR,1180,155
2023-01-13,COK,12,2
2023-01-13,MYQ,16,1
2023-01-13,TRT,6,0
2023-01-14,BLR,1198,149
2023-01-14,COK,9,0
2023-01-14,MYQ,3,0
2023-01-14,TRT,6,0
2023-01-15,BLR,1008,57
2023-01-15,COK,23,0
2023-01-15,MYQ,13,0
2023-01-15,TRT,4,0
2023-01-16,BLR,1170,121
2023-01-16,COK,15,3
2023-01-16,MYQ,10,1
2023-01-16,TRT,1,0
2023-01-17,BLR,1274,148
2023-01-17,COK,28,4
2023-01-17,MYQ,8,1
2023-01-17,TRT,1,0
2023-01-18,BLR,1659,167
2023-01-18,COK,13,2
2023-01-18,MYQ,11,1
2023-01-18,TRT,6,0
2023-01-19,BLR,1226,166
2023-01-19,COK,13,0
2023-01-19,MYQ,9,2
2023-01-19,TRT,5,0
2023-01-20,BLR,1301,246
2023-01-20,COK,27,5
2023-01-20,MYQ,12,1
2023-01-20,TRT,4,0
2023-01-21,BLR,1386,187
2023-01-21,COK,14,1
2023-01-21,MYQ,11,3
2023-01-21,TRT,8,0
2023-01-22,BLR,1208,49
2023-01-22,COK,9,0
2023-01-22,MYQ,9,1
2023-01-22,TRT,5,0
2023-01-23,BLR,1367,223
2023-01-23,COK,18,1
2023-01-23,MYQ,14,2
2023-01-23,TRT,6,0
2023-01-24,BLR,2979,264
2023-01-24,COK,24,15
